date,slot,L_raw,L_cor,L_act,PV_raw,PV_cor,PV_act,bL,bPV,n_valid_L,lvl_L,n_valid_PV,n_fb
2025-05-08,42,4884.25115,4880.48833916667,4904.801,2055.49005,2445.81899479167,2256.3211,-3.76281083333333,390.328944791667,20,1,28,0
2025-05-08,43,4807.4675,4825.10509395833,4713.99,2408.41875,2797.81676264881,2453.5125,17.6375939583333,389.39801264881,20,1,28,0
2025-05-08,44,4877.8714,4895.50899395833,4636.6107,2651.92885,3041.32686264881,2825.7725,17.6375939583333,389.39801264881,20,1,28,0
2025-05-08,45,4934.361575,4951.99916895833,4812.5695,2952.877575,3342.27558764881,3232.1432,17.6375939583333,389.39801264881,20,1,28,0
2025-05-08,46,4783.7525,4801.39009395833,4907.89,3325.40625,3714.80426264881,3559.05,17.6375939583333,389.39801264881,20,1,28,0
2025-05-08,47,4558.16695,4575.80454395833,4621.2437,3613.368825,4002.76683764881,3834.373,17.6375939583333,389.39801264881,20,1,28,0
2025-05-08,48,5358.524675,5376.16226895833,5319.4287,3869.806625,4259.20463764881,4195.8634,17.6375939583333,389.39801264881,20,1,28,0
2025-05-08,49,6669.4025,6668.83487979167,6640.68,4153.959375,4509.90676860119,4592.775,-0.567620208333262,355.947393601191,20,1,28,0
2025-05-08,50,6775.986,6775.41837979167,6745.9356,4472.096925,4828.04431860119,4833.068,-0.567620208333262,355.947393601191,20,1,28,0
2025-05-08,51,6554.77345,6554.20582979167,6451.7657,4812.6028,5168.55019360119,5014.3996,-0.567620208333262,355.947393601191,20,1,28,0
2025-05-08,52,6582.8675,6582.29987979167,6454.75,5155.209375,5511.15676860119,5216.4,-0.567620208333262,355.947393601191,20,1,28,0
2025-05-08,53,6561.1528,6560.58517979167,6620.9968,5479.005325,5834.95271860119,5452.4453,-0.567620208333262,355.947393601191,20,1,28,0
2025-05-08,54,6550.38755,6549.81992979167,6729.9125,5780.426575,6136.37396860119,5827.4279,-0.567620208333262,355.947393601191,20,1,28,0
2025-05-08,55,6579.665,6571.65061375,6663.68,6084.628125,6455.394378125,6135.45,-8.01438625000001,370.766253125,20,1,28,0
2025-05-08,56,6576.48755,6568.47316375,6485.4704,6405.474075,6776.240328125,6056.4527,-8.01438625000001,370.766253125,20,1,28,0
2025-05-08,57,6586.50015,6578.48576375,6499.8188,6622.787175,6993.553428125,6127.0519,-8.01438625000001,370.766253125,20,1,28,0
2025-05-08,58,6582.5375,6574.52311375,6608.97,6774.721875,7145.488128125,6523.05,-8.01438625000001,370.766253125,20,1,28,0
2025-05-08,59,6487.933075,6479.91868875,6426.4126,7024.719175,7395.485428125,6883.1423,-8.01438625000001,370.766253125,20,1,28,0
2025-05-08,60,6436.095925,6428.08153875,6246.2409,7273.360625,7644.126878125,7025.2273,-8.01438625000001,370.766253125,20,1,28,0
2025-05-08,61,6452.1575,6453.24763458333,6314.49,7454.19375,7795.55590297619,7113.9375,1.09013458333332,341.36215297619,20,1,28,0
2025-05-08,62,6435.33845,6436.42858458333,6568.1769,7597.578575,7938.94072797619,7447.5522,1.09013458333332,341.36215297619,20,1,28,0
2025-05-08,63,6426.37565,6427.46578458333,6621.3556,7718.527025,8059.88917797619,7692.6442,1.09013458333332,341.36215297619,20,1,28,0
2025-05-08,64,6444.2775,6445.36763458333,6464.55,7840.040625,8181.40277797619,7718.7,1.09013458333332,341.36215297619,20,1,28,0
2025-05-08,65,6452.903475,6453.99360958333,6446.6688,7982.8631,8324.22525297619,7703.847,1.09013458333332,341.36215297619,20,1,28,0
2025-05-08,66,6432.582725,6433.67285958333,6530.0839,8108.81805,8450.18020297619,7612.9618,1.09013458333332,341.36215297619,20,1,28,0
2025-05-08,67,6402.935,6389.49759708333,6551.63,8206.921875,8406.63486636905,7547.925,-13.4374029166666,199.712991369048,20,1,28,0
2025-05-08,68,6389.091825,6375.65442208333,6415.993,8317.273325,8516.98631636905,7686.6491,-13.4374029166666,199.712991369048,20,1,28,0
2025-05-08,69,6308.549475,6295.11207208333,6379.045,8508.393075,8708.10606636905,7751.2343,-13.4374029166666,199.712991369048,20,1,28,0
2025-05-08,70,6243.0975,6229.66009708333,6424.33,8681.49375,8881.20674136905,7742.025,-13.4374029166666,199.712991369048,20,1,28,0
2025-05-08,71,6337.56385,6324.12644708333,6271.2561,8659.6963,8859.40929136905,7902.6323,-13.4374029166666,199.712991369048,20,1,28,0
2025-05-08,72,6244.0533,6230.61589708333,6023.6632,8641.6957,8841.40869136905,7889.5442,-13.4374029166666,199.712991369048,20,1,28,0
2025-05-08,73,5977.3,5954.51325625,5872.45,8743.06875,8929.09135357143,7598.1375,-22.78674375,186.022603571429,20,1,28,0
2025-05-08,74,5912.92805,5890.14130625,5916.4043,8871.248325,9057.27092857143,7330.0464,-22.78674375,186.022603571429,20,1,28,0
2025-05-08,75,5924.985575,5902.19883125,5946.4475,8830.48205,9016.50465357143,7425.8584,-22.78674375,186.022603571429,20,1,28,0
2025-05-08,76,5905.2275,5882.44075625,5870.84,8712.825,8898.84760357143,7638.6375,-22.78674375,186.022603571429,20,1,28,0
2025-05-08,77,5908.462675,5885.67593125,5818.9125,8776.86555,8962.88815357143,7422.0517,-22.78674375,186.022603571429,20,1,28,0
2025-05-08,78,6040.59815,6017.81140625,6013.1008,8716.858525,8902.88112857143,7368.6969,-22.78674375,186.022603571429,20,1,28,0
2025-05-08,79,6253.3325,6270.480396875,6366.59,8448.421875,8670.45507767857,7557.225,17.1478968749999,222.033202678571,20,1,28,0
2025-05-08,80,6360.527575,6377.675471875,6522.9209,8207.48415,8429.51735267857,7470.6513,17.1478968749999,222.033202678571,20,1,28,0
2025-05-08,81,6293.28915,6310.437046875,6381.1426,8047.465175,8269.49837767857,7409.9732,17.1478968749999,222.033202678571,20,1,28,0
2025-05-08,82,6177.3,6194.447896875,6192.54,7966.078125,8188.11132767857,7429.0875,17.1478968749999,222.033202678571,20,1,28,0
2025-05-08,83,6213.30915,6230.457046875,6302.1972,7938.5697,8160.60290267857,7254.3855,17.1478968749999,222.033202678571,20,1,28,0
2025-05-08,84,6254.72325,6271.871146875,6314.3962,7875.8997,8097.93290267857,7129.8101,17.1478968749999,222.033202678571,20,1,28,0
2025-05-08,85,6207.1,6222.90619083333,6166.33,7703.55,8008.44490580357,7110.5625,15.8061908333333,304.894905803571,20,1,28,0
2025-05-08,86,6132.453425,6148.25961583333,6191.2247,7400.07205,7704.96695580357,6966.4777,15.8061908333333,304.894905803571,20,1,28,0
2025-05-08,87,6148.4366,6164.24279083333,6232.0462,7036.15475,7341.04965580357,6621.9081,15.8061908333333,304.894905803571,20,1,28,0
2025-05-08,88,6224.545,6240.35119083333,6243.9,6749.990625,7054.88553080357,6116.775,15.8061908333333,304.894905803571,20,1,28,0
2025-05-08,89,6221.776525,6237.58271583333,6333.2514,6632.61,6937.50490580357,5604.0929,15.8061908333333,304.894905803571,20,1,28,0
2025-05-08,90,6204.995375,6220.80156583333,6268.4574,6422.637175,6727.53208080357,5379.8888,15.8061908333333,304.894905803571,20,1,28,0
