date,em_kwh,cost_total_yuan
2025-08-09,15.6318,25560.518174609
2025-08-10,16.0813000000001,54333.716830011
2025-08-11,16.9615500000001,54242.4797097155
2025-08-12,20.5927,54629.7516913149
2025-08-13,24.2419500000002,54418.0310820286
2025-08-14,35.2771166666668,54345.9033105974
2025-08-15,36.9717333333332,25555.7644987815
2025-08-16,42.1931,25664.6765805384
2025-08-17,48.53205,53791.1617049845
2025-08-18,52.0936333333332,54050.8027603741
2025-08-19,55.4372833333333,53703.9857187363
2025-08-20,61.8191333333333,53656.0968043722
2025-08-21,67.4673999999999,53618.3659870647
2025-08-22,65.7221999999999,26166.0540573892
2025-08-23,70.7939999999999,25528.7807871878
2025-08-24,77.0869166666666,53697.5433429538
2025-08-25,87.2405999999998,53294.4837399925
2025-08-26,88.0416166666666,53145.0831337894
2025-08-27,106.191716666667,52807.7027783584
2025-08-28,351.398733333333,54538.9579978072
2025-08-29,126.510616666667,25203.4469897003
2025-08-30,128.0718,25665.3896238208
2025-08-31,143.808916666667,53009.5927301128
2025-09-01,154.061183333333,43655.3138199491
2025-09-02,163.546816666667,44084.3637408301
2025-09-03,189.130483333333,44092.8284141161
2025-09-04,207.139316666667,44043.5113658045
2025-09-05,207.912766666667,18407.525250524
2025-09-06,219.758016666667,18582.6679067658
2025-09-07,230.684166666667,43821.693378548
2025-09-08,344.087533333333,44575.829979893
2025-09-09,245.733466666667,44280.4791001039
2025-09-10,347.255383333333,44742.2224027415
2025-09-11,294.0432,44289.0111877848
2025-09-12,329.539533333333,18978.9687292128
2025-09-13,344.245266666667,18762.7965055495
2025-09-14,373.966483333333,44836.9915609287
2025-09-15,398.791633333334,44780.321208183
2025-09-16,403.196483333333,45375.7784436202
2025-09-17,452.8189,45017.5187422423
2025-09-18,437.023566666667,45153.5991356376
2025-09-19,505.362183333333,19683.5145251007
2025-09-20,582.821733333333,19971.3690848775
2025-09-21,566.72665,45691.3501673472
2025-09-22,602.01505,45990.2272642607
2025-09-23,800.029883333333,47131.6791462931
2025-09-24,690.208683333333,46088.2856285725
2025-09-25,768.6183,46373.6023231173
2025-09-26,727.323666666666,19986.2525693778
2025-09-27,1016.8563,22287.1582685899
2025-09-28,869.690316666667,46504.8004669081
2025-09-29,873.866533333333,47230.0148961746
2025-09-30,1800.46598333333,51064.5012243291
2025-10-01,848.67345,43486.1441063483
2025-10-02,843.3816,43616.7466948278
2025-10-03,917.249816666667,18538.8572260912
2025-10-04,1080.33603333333,19732.2479416913
2025-10-05,1003.51201666667,44588.3731190943
2025-10-06,1229.13658333333,45876.5689194088
2025-10-07,1213.13663333333,45257.0154121923
2025-10-08,1315.79753333333,45766.2091353288
