date,Z_milp,Z_lp,gap
2025-08-26,44150.7077328064,44147.968112919,2.73961988740484
2025-08-27,45631.3964563783,45631.3964563783,-7.27595761418343e-12
2025-08-28,46861.8968103603,46861.8968103603,7.27595761418343e-12
2025-08-29,22886.02439057,22886.02439057,-3.63797880709171e-12
2025-08-30,22764.2316751397,22764.2316751397,3.63797880709171e-12
2025-08-31,44826.6073162481,44826.6073162481,0
2025-09-01,35304.6574404581,35304.6574404581,0
2025-09-02,35723.7907535383,35723.7907535383,1.45519152283669e-11
2025-09-03,36947.8799136841,36946.7483642994,1.13154938469233
2025-09-04,36536.6086831018,36535.2769815868,1.33170151506056
2025-09-05,15974.1291004407,15974.1291004407,0
2025-09-06,16082.391393211,16082.391393211,3.63797880709171e-12
2025-09-07,36159.1007165284,36159.1007165284,0
2025-09-08,38943.3572194444,38943.3572194444,-1.45519152283669e-11
2025-09-09,36696.1557660773,36696.1557660773,0
2025-09-10,40009.2280761301,40009.2280761301,7.27595761418343e-12
2025-09-11,36524.6866551067,36524.6866551067,0
2025-09-12,16774.0866739861,16774.0866739861,0
2025-09-13,16746.5482813522,16746.5482813522,-7.27595761418343e-12
2025-09-14,39354.6282928083,39354.6282928083,0
2025-09-15,37490.2634577417,37488.9561475036,1.30731023802218
2025-09-16,39107.1025520402,39107.1025520402,7.27595761418343e-12
2025-09-17,39446.1596381728,39446.1596381728,0
2025-09-18,39191.9046840667,39191.8871851314,0.0174989353108685
2025-09-19,17138.8112782082,17138.8112782082,-3.63797880709171e-12
2025-09-20,17189.7306411791,17189.7306411791,0
2025-09-21,38495.1610779911,38495.1610779911,0
2025-09-22,40040.63375934,40038.7892270812,1.84453225876496
2025-09-23,41363.9233810388,41363.9233810388,-1.45519152283669e-11
2025-09-24,40292.1429801317,40292.1429801317,0
2025-09-25,40124.8128006067,40121.4386105108,3.37419009581208
2025-09-26,16804.9409243161,16804.9409243161,-3.63797880709171e-12
2025-09-27,18195.7544948588,18195.7544948588,0
2025-09-28,41640.5087464438,41640.5087464438,0
2025-09-29,41561.8109439928,41561.8109439928,7.27595761418343e-12
2025-09-30,43476.0821059053,43476.0821059053,1.45519152283669e-11
2025-10-01,34268.05594155,34266.2621523154,1.79378923456534
2025-10-02,34414.9545869617,34414.9545869617,7.27595761418343e-12
2025-10-03,14400.3401115345,14400.3401115345,3.63797880709171e-12
2025-10-04,15247.701421595,15247.701421595,-5.45696821063757e-12
2025-10-05,35778.3313010833,35778.3313010833,7.27595761418343e-12
2025-10-06,37641.6741823767,37641.6741823767,0
2025-10-07,37642.7512196883,37642.7512196883,-7.27595761418343e-12
2025-10-08,36883.08584412,36883.08584412,0
2025-10-09,36959.3305652767,36959.3305652766,2.18278728425503e-11
2025-10-10,15626.7271227243,15626.7271227243,1.81898940354586e-12
2025-10-11,15689.4390303731,15689.4390303731,-1.81898940354586e-12
2025-10-12,38140.32237125,38138.0642411878,2.25813006222597
2025-10-13,37633.592040606,37633.592040606,1.45519152283669e-11
2025-10-14,39885.0209872933,39885.0209872933,7.27595761418343e-12
2025-10-15,40195.4146687625,40195.4146687624,2.18278728425503e-11
2025-10-16,41532.6435876391,41532.6435876391,-1.45519152283669e-11
2025-10-17,15861.3102571786,15861.3102571786,3.63797880709171e-12
2025-10-18,15877.2569811122,15877.2569811122,0
2025-10-19,42059.0043591249,42059.0043591249,-7.27595761418343e-12
2025-10-20,42287.4279772203,42287.4279772203,7.27595761418343e-12
2025-10-21,43217.706567351,43217.7065673511,-7.27595761418343e-12
2025-10-22,43122.8210201409,43122.8210201409,-7.27595761418343e-12
2025-10-23,41713.0756042855,41713.0756042855,1.45519152283669e-11
2025-10-24,16966.480310878,16966.480310878,3.63797880709171e-12
2025-10-25,16582.7703706555,16582.7703706555,3.63797880709171e-12
2025-10-26,42116.7269137243,42116.7269137242,7.27595761418343e-12
2025-10-27,42160.444842533,42160.4448425329,1.45519152283669e-11
2025-10-28,43293.8687877964,43293.8687877964,1.45519152283669e-11
2025-10-29,45594.1974354885,45594.1974354885,7.27595761418343e-12
2025-10-30,42815.1873494344,42815.1873494344,7.27595761418343e-12
2025-10-31,17297.2484585733,17297.2484585733,3.63797880709171e-12
2025-11-01,16939.8697994783,16939.5065699983,0.363229479997244
2025-11-02,45367.646536565,45363.1821249408,4.46441162420524
2025-11-03,45355.1658968731,45355.1658968731,-7.27595761418343e-12
2025-11-04,44643.7479453853,44643.7479453853,3.63797880709171e-11
2025-11-05,45808.3887972719,45808.3887972719,1.45519152283669e-11
2025-11-06,47151.8967537723,47151.8967537723,-7.27595761418343e-12
2025-11-07,17600.172718876,17600.172718876,7.27595761418343e-12
2025-11-08,17209.08320612,17209.08320612,3.63797880709171e-12
2025-11-09,47104.5913504478,47104.5913504478,-7.27595761418343e-12
2025-11-10,48874.66345537,48874.66345537,0
2025-11-11,47327.7970972781,47323.4925144357,4.30458284238557
2025-11-12,47109.2096197324,47109.2096197324,0
2025-11-13,47896.8053169193,47896.8053169193,-1.45519152283669e-11
2025-11-14,17986.4980191,17986.4980191,0
2025-11-15,18023.6974012308,18023.6974012308,0
2025-11-16,49425.1652959818,49425.1652959818,-1.45519152283669e-11
2025-11-17,48188.5350195509,48188.5350195509,7.27595761418343e-12
